token_1,ws,token_2,count
),1_NL_17_ID_SP,.,10
),1_NL_36_DD_SP,.,1
;,2_NL_17_DD_SP,return,1
->,1_SP,!,220
),1_NL_23_ID_SP,.,17
),1_NL_13_ID_SP,?,1
),1_NL,:,273
),1_NL_13_DD_SP,.,1
;,2_NL_23_DD_SP,return,3
),1_NL_1_DD_SP,.,1
{,2_NL_4_ID_SP,void,50
!,0_None,(,1106
{,1_NL_26_DD_SP,if,19
;,1_NL_27_DD_SP,Identifier,20
",",1_NL_51_ID_SP,String,1
;,2_NL_51_DD_SP,Identifier,3
;,2_NL_31_DD_SP,(,5
},2_NL,int,617
",",1_NL,DecimalInteger,898
;,2_NL_8_DD_SP,if,338
",",1_NL_26_ID_SP,Identifier,143
{,1_NL_22_DD_SP,Identifier,36
++,0_None,;,2890
{,1_NL_27_DD_SP,Identifier,151
{,1_NL_22_DD_SP,if,10
{,1_NL_4_DD_SP,Identifier,1818
{,1_NL_23_DD_SP,if,9
{,1_NL_26_DD_SP,Identifier,236
{,1_NL_19_DD_SP,Identifier,3
),1_NL_45_ID_SP,.,8
;,1_NL_45_DD_SP,if,1
},1_NL,throw,1303
:,1_SP,Null,828
Identifier,1_NL_33_ID_SP,.,1
;,2_NL_37_DD_SP,},1
Identifier,1_NL_29_ID_SP,.,1
;,2_NL_33_DD_SP,},1
>,1_SP,extends,542
+,1_NL_8_ID_SP,super,2
int,0_None,.,87
class,0_None,",",5032
",",1_NL_58_ID_SP,byte,1
byte,0_None,.,34
",",1_NL,short,2
short,0_None,.,33
",",1_NL,boolean,287
boolean,0_None,.,62
",",1_NL,long,147
long,0_None,.,54
",",1_NL,double,44
double,0_None,.,53
",",1_NL,float,8
float,0_None,.,36
",",1_NL,char,2
char,0_None,.,35
;,2_NL_58_DD_SP,private,1
>,0_None,[,310
{,0_None,Identifier,1048
class,0_None,},208
;,1_NL_44_DD_SP,static,1
static,1_SP,{,334
",",1_NL_50_ID_SP,Identifier,26
{,1_NL_46_DD_SP,return,3
),1_NL_13_ID_SP,.,22
;,1_NL_17_DD_SP,},43
",",1_NL_39_ID_SP,Identifier,68
{,1_NL_35_DD_SP,this,7
;,1_NL_26_DD_SP,},22
Identifier,0_None,::,3892
::,0_None,new,639
new,0_None,),383
;,2_NL_19_DD_SP,},3
;,2_NL,<,124
?,1_SP,extends,3213
class,0_None,;,903
),1_NL_51_ID_SP,Identifier,1
{,1_NL_47_DD_SP,return,1
public,1_SP,synchronized,1005
synchronized,1_SP,void,845
",",2_NL,Identifier,165
Identifier,2_NL_4_DD_SP,},4
{,1_NL_4_ID_SP,Annotation,3999
",",1_NL_14_ID_SP,Identifier,16
{,1_NL_10_DD_SP,this,3
{,2_NL_4_ID_SP,boolean,98
;,2_NL_16_DD_SP,boolean,3
",",1_NL_17_ID_SP,Identifier,29
;,2_NL_17_DD_SP,boolean,1
public,1_SP,<,1642
abstract,1_SP,Identifier,1285
",",1_NL_37_ID_SP,Identifier,86
;,2_NL_41_DD_SP,},1
",",1_NL_42_ID_SP,Identifier,41
{,1_NL_38_DD_SP,Identifier,55
;,1_NL_39_DD_SP,Identifier,10
",",1_NL_46_ID_SP,Identifier,41
;,1_NL_46_DD_SP,boolean,5
;,1_NL_53_DD_SP,if,5
;,2_NL_19_DD_SP,return,5
{,1_NL_37_DD_SP,Identifier,53
;,1_NL_24_DD_SP,Identifier,59
;,2_NL_24_DD_SP,if,6
;,1_NL_28_DD_SP,},45
",",1_NL_46_ID_SP,boolean,6
{,1_NL_42_DD_SP,Identifier,26
;,1_NL_52_DD_SP,return,5
{,1_NL_40_DD_SP,Identifier,19
),0_None,Identifier,1984
],0_None,>,1036
},2_NL,EOF,537
{,1_NL_37_DD_SP,this,5
Identifier,1_NL_8_ID_SP,extends,72
>,1_NL,implements,21
{,1_NL_4_ID_SP,void,409
;,1_NL,void,122
protected,1_SP,abstract,625
",",1_NL_8_ID_SP,Null,48
;,1_NL_18_DD_SP,},9
",",1_SP,?,920
",",1_NL_64_ID_SP,Annotation,10
{,1_NL_60_DD_SP,return,10
{,1_NL_19_DD_SP,this,32
{,1_NL_20_DD_SP,Identifier,11
),1_NL_8_DD_SP,.,259
;,1_NL_8_DD_SP,return,931
;,3_NL_8_DD_SP,(,2
;,2_NL_8_DD_SP,return,286
||,1_SP,!,661
&&,1_NL_8_ID_SP,(,40
{,1_NL_4_DD_SP,throw,105
",",1_NL,Boolean,149
},3_NL,if,55
},3_NL,private,211
",",1_NL_75_ID_SP,Identifier,7
;,1_NL_75_DD_SP,Identifier,4
Null,0_None,?,3
this,0_None,::,552
),0_None,::,51
